"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
120,"CapPass",173.29,-176.6,"Trend",0.981,705.78,708.73,120,"B-3","Alloy 617","Plate",314626
121,"CapPass",173.51,-171.9,"Trend",1.009,711.70,714.72,121,"B-3","Alloy 617","Plate",314626
122,"CapPass",170.29,-176.3,"Trend",0.966,717.70,720.67,122,"B-3","Alloy 617","Plate",314626
123,"CapPass",172.21,-172.2,"Trend",1.000,723.67,726.64,123,"B-3","Alloy 617","Plate",314626
124,"CapPass",170.99,-170.3,"Trend",1.004,729.62,732.61,124,"B-3","Alloy 617","Plate",314626
125,"CapPass",169.71,-173.2,"Trend",0.980,735.56,738.57,125,"B-3","Alloy 617","Plate",314626
126,"CapPass",172.76,-172.6,"Trend",1.001,741.56,744.51,126,"B-3","Alloy 617","Plate",314626
127,"CapPass",172.03,-170.1,"Trend",1.011,747.50,750.53,127,"B-3","Alloy 617","Plate",314626
128,"CapPass",169.36,-178.9,"Trend",0.947,753.53,756.45,128,"B-3","Alloy 617","Plate",314626
129,"CapPass",168.91,-175.8,"Trend",0.961,759.15,762.43,129,"B-3","Alloy 617","Plate",314626
130,"CapPass",166.56,-175.7,"Trend",0.948,765.45,768.40,130,"B-3","Alloy 617","Plate",314626
131,"CapPass",170.13,-174.6,"Trend",0.974,771.43,774.39,131,"B-3","Alloy 617","Plate",314626
132,"CapPass",169.90,-177.0,"Trend",0.960,777.39,780.37,132,"B-3","Alloy 617","Plate",314626
133,"CapPass",171.08,-176.1,"Trend",0.972,783.39,786.36,133,"B-3","Alloy 617","Plate",314626
134,"CapPass",171.75,-173.5,"Trend",0.990,789.37,792.34,134,"B-3","Alloy 617","Plate",314626
135,"CapPass",174.42,-175.0,"Trend",0.996,795.34,798.31,135,"B-3","Alloy 617","Plate",314626
136,"CapPass",172.53,-176.6,"Trend",0.977,801.31,804.26,136,"B-3","Alloy 617","Plate",314626
137,"CapPass",172.89,-174.9,"Trend",0.989,807.28,810.23,137,"B-3","Alloy 617","Plate",314626
138,"CapPass",174.44,-177.5,"Trend",0.983,813.25,816.18,138,"B-3","Alloy 617","Plate",314626
139,"CapPass",165.72,-173.6,"Trend",0.955,818.67,822.17,139,"B-3","Alloy 617","Plate",314626
140,"CapPass",171.58,-173.4,"Trend",0.989,825.17,828.15,140,"B-3","Alloy 617","Plate",314626
141,"CapPass",173.62,-175.2,"Trend",0.991,831.14,834.12,141,"B-3","Alloy 617","Plate",314626
142,"CapPass",174.38,-173.8,"Trend",1.003,837.12,840.09,142,"B-3","Alloy 617","Plate",314626
143,"CapPass",174.23,-175.5,"Trend",0.993,843.09,846.03,143,"B-3","Alloy 617","Plate",314626
144,"CapPass",163.61,-171.3,"Trend",0.955,848.98,851.76,144,"B-3","Alloy 617","Plate",314626
145,"CapPass",167.85,-177.0,"Trend",0.948,855.03,857.98,145,"B-3","Alloy 617","Plate",314626
146,"CapPass",169.64,-177.1,"Trend",0.958,861.01,863.97,146,"B-3","Alloy 617","Plate",314626
147,"CapPass",171.11,-175.8,"Trend",0.973,866.97,869.93,147,"B-3","Alloy 617","Plate",314626
148,"CapPass",172.83,-173.7,"Trend",0.995,872.93,875.92,148,"B-3","Alloy 617","Plate",314626
149,"CapPass",174.71,-168.1,"Trend",1.039,878.89,881.89,149,"B-3","Alloy 617","Plate",314626
150,"CapPass",168.01,-175.8,"Trend",0.956,884.87,887.84,150,"B-3","Alloy 617","Plate",314626
151,"CapPass",170.14,-176.1,"Trend",0.966,890.86,893.75,151,"B-3","Alloy 617","Plate",314626
152,"CapPass",164.57,-167.6,"Trend",0.982,896.26,899.78,152,"B-3","Alloy 617","Plate",314626
153,"CapPass",176.44,-169.4,"Trend",1.041,902.78,905.75,153,"B-3","Alloy 617","Plate",314626
154,"CapPass",174.43,-173.1,"Trend",1.007,908.68,911.72,154,"B-3","Alloy 617","Plate",314626
155,"CapPass",168.86,-175.7,"Trend",0.961,914.72,917.65,155,"B-3","Alloy 617","Plate",314626
156,"CapPass",166.58,-170.3,"Trend",0.978,920.64,923.67,156,"B-3","Alloy 617","Plate",314626
157,"CapPass",175.83,-171.3,"Trend",1.026,926.67,929.62,157,"B-3","Alloy 617","Plate",314626
158,"CapPass",176.53,-167.7,"Trend",1.053,932.61,935.32,158,"B-3","Alloy 617","Plate",314626
159,"CapPass",173.37,-172.7,"Trend",1.004,938.50,941.50,159,"B-3","Alloy 617","Plate",314626
160,"CapPass",174.06,-170.8,"Trend",1.019,944.56,947.54,160,"B-3","Alloy 617","Plate",314626
161,"CapPass",174.14,-171.7,"Trend",1.014,950.54,953.53,161,"B-3","Alloy 617","Plate",314626
162,"CapPass",177.42,-171.6,"Trend",1.034,956.51,959.50,162,"B-3","Alloy 617","Plate",314626
163,"CapPass",176.25,-169.1,"Trend",1.042,962.48,965.43,163,"B-3","Alloy 617","Plate",314626
164,"CapPass",168.83,-177.4,"Trend",0.952,968.45,971.43,164,"B-3","Alloy 617","Plate",314626
165,"CapPass",169.89,-176.0,"Trend",0.966,974.43,977.40,165,"B-3","Alloy 617","Plate",314626
166,"CapPass",173.03,-176.4,"Trend",0.981,980.40,983.36,166,"B-3","Alloy 617","Plate",314626
167,"CapPass",173.53,-174.7,"Trend",0.993,986.39,989.34,167,"B-3","Alloy 617","Plate",314626
168,"CapPass",173.65,-175.7,"Trend",0.989,992.36,995.31,168,"B-3","Alloy 617","Plate",314626
169,"CapPass",172.03,-174.7,"Trend",0.985,998.32,1001.28,169,"B-3","Alloy 617","Plate",314626
170,"CapPass",175.37,-174.3,"Trend",1.006,1004.29,1007.18,170,"B-3","Alloy 617","Plate",314626
171,"CapPass",167.30,-174.1,"Trend",0.961,1009.73,1013.20,171,"B-3","Alloy 617","Plate",314626
172,"CapPass",173.47,-173.2,"Trend",1.002,1016.20,1019.18,172,"B-3","Alloy 617","Plate",314626
173,"CapPass",175.56,-171.6,"Trend",1.023,1022.18,1025.15,173,"B-3","Alloy 617","Plate",314626
174,"CapPass",176.15,-174.9,"Trend",1.007,1028.12,1030.90,174,"B-3","Alloy 617","Plate",314626
175,"CapPass",166.80,-165.3,"Trend",1.009,1033.90,1037.07,175,"B-3","Alloy 617","Plate",314626
